Sample,Location,Floor,Type,Indoor_Outdoor,Air_out,Material,Temperature,Humidness,RNA,Notes,DNA_RNA,Date,Group,Month,Season
240328_1B,SAb1 SA084 left side ,b1,Corridor,Indoor,no,metal,18,0.522,No,,DNA,240328,Underground,3,Spring
240328_2B,SAb1 SA074,b1,Toilet (Male),Indoor,no,metal,17.3,0.535,No,,DNA,240328,Underground,3,Spring
240328_3B,SAb1 SA080,b1,Toilet (Female),Indoor,no,metal,17.3,0.553,No,,DNA,240328,Underground,3,Spring
240328_4B,SAb1 Canteen,b1,Canteen,Indoor,no,metal,17.7,0.565,No,,DNA,240328,Underground,3,Spring
240328_5B,SAb1 SA089 (front),b1,Corridor,Indoor,no,metal,17.2,0.569,No,,DNA,240328,Underground,3,Spring
240328_6B,SAb1,b1,Corridor,Indoor,no,metal,16.9,0.579,No,,DNA,240328,Underground,3,Spring
240328_7B,SBb1 (in front of Elevator),b1,Corridor,Indoor,no,metal,16.6,0.592,No,,DNA,240328,Underground,3,Spring
240328_8B,SBb1,b1,Outdoor,Outdoor,no,metal,16.6,0.595,No,,DNA,240328,Outdoor,3,Spring
240328_9B,SB Elevator,Elevator,Elevator,Indoor,no,metal,16.9,0.601,No,,DNA,240328,Elevator,3,Spring
240328_10B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,16.4,0.612,No,,DNA,240328,Underground,3,Spring
240328_11B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,16.4,0.621,No,,DNA,240328,Underground,3,Spring
240328_12B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,16.2,0.627,No,,DNA,240328,Underground,3,Spring
240328_13B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,15.9,0.635,No,,DNA,240328,Underground,3,Spring
240328_14B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,15.9,0.645,No,,DNA,240328,Underground,3,Spring
240328_15B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,16.3,0.651,No,,DNA,240328,Underground,3,Spring
240328_16B,SD Elevator,Elevator,Elevator,Indoor,no,metal,16.6,0.656,No,,DNA,240328,Elevator,3,Spring
240328_17B,SD254,2,Classroom,Indoor,no,metal,17.3,0.657,No,,DNA,240328,Aboveground,3,Spring
240328_18B,SD234,2,Corridor,Indoor,no,plastic,17.6,0.653,No,Very black,DNA,240328,Aboveground,3,Spring
240328_19B,SC221,2,Common room,Indoor,no,metal,17.8,0.651,No,,DNA,240328,Aboveground,3,Spring
240328_20B,SB123,2,Classroom,Indoor,no,metal,20.9,0.594,No,,DNA,240328,Aboveground,3,Spring
240328_21B,SA521,5,Common room,Indoor,no,metal,19.3,0.633,No,,DNA,240328,Aboveground,3,Spring
240328_22B,SA434,4,Laboratory,Indoor,no,metal,20.5,0.615,No,,DNA,240328,Aboveground,3,Spring
240411_1A,SAb1 (By the Elevator),b1,Corridor,Indoor,no,plastic,21.2,0.5439,No,,DNA,240411,Underground,4,Spring
240411_2A,SAb1 ,b1,Outdoor,Outdoor,yes,metal,21.1,0.552,No,,DNA,240411,Outdoor,4,Spring
240411_3A,SAb1 ,b1,Outdoor,Outdoor,no,plastic,21.1,0.552,No,,DNA,240411,Outdoor,4,Spring
240411_4A,SAb1 SA007,b1,Office,Indoor,no,plastic,21.2,0.558,No,,DNA,240411,Underground,4,Spring
240411_5A,SBb1 SB022 (in front of toilet door),b1,Corridor,Indoor,no,plastic,21,0.561,No,,DNA,240411,Underground,4,Spring
240411_6A,SBb1 SB026,b1,Toilet (Male),Indoor,yes,plastic,21.4,0.567,No,,DNA,240411,Underground,4,Spring
240411_7A,SBb1 SB022,b1,Toilet (Female),Indoor,yes,plastic,21.1,0.565,No,,DNA,240411,Underground,4,Spring
240411_8A,SBb1 SB034 right side ,b1,Corridor,Indoor,no,metal,20.9,0.568,No,,DNA,240411,Underground,4,Spring
240411_9A,SBb1 SB038 left side,b1,Corridor,Indoor,no,plastic,20.6,0.57,No,,DNA,240411,Underground,4,Spring
240411_10A,SBb1 SB024 left side,b1,Corridor,Indoor,no,metal,20.1,0.574,No,,DNA,240411,Underground,4,Spring
240411_11A,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,19.2,0.584,No,,DNA,240411,Underground,4,Spring
240411_12A,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,19.5,0.59,No,,DNA,240411,Underground,4,Spring
240411_13A,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,19.2,0.597,No,,DNA,240411,Underground,4,Spring
240411_14A,SC Elevator,Elevator,Elevator,Indoor,no,metal,19.4,0.6,No,,DNA,240411,Elevator,4,Spring
240411_15A,SDb1 Parking lot,b1,Parking lot,Indoor,no,metal,19.2,0.609,No,,DNA,240411,Underground,4,Spring
240411_16A,SDb1 Parking lot,b1,Parking lot,Indoor,no,metal,19.1,0.611,No,,DNA,240411,Underground,4,Spring
240411_17A,SDb1 Parking lot,b1,Parking lot,Indoor,no,metal,19,0.615,No,,DNA,240411,Underground,4,Spring
240411_18A,SDb1,b1,Corridor,Indoor,no,metal,18.7,0.616,No,,DNA,240411,Underground,4,Spring
240411_19A,SB273,2,Common room,Indoor,no,metal,21.4,0.616,No,Opened window,DNA,240411,Aboveground,4,Spring
240411_20A,SC169,2,Classroom,Indoor,no,metal,21.2,0.612,No,,DNA,240411,Aboveground,4,Spring
240411_21A,SA Elevator,Elevator,Elevator,Indoor,no,metal,22.1,0.606,No,,DNA,240411,Elevator,4,Spring
240411_22A,SA421,4,Office,Indoor,no,metal,21.3,0.62,No,,DNA,240411,Aboveground,4,Spring
240424_1B,SAb1 SA084 left side ,b1,Corridor,Indoor,no,metal,21.8,0.335,No,,DNA,240424,Underground,4,Spring
240424_2B,SAb1 SA074,b1,Toilet (Male),Indoor,no,metal,21.7,0.344,No,,DNA,240424,Underground,4,Spring
240424_3B,SAb1 SA080,b1,Toilet (Female),Indoor,no,metal,21.4,0.35,No,,DNA,240424,Underground,4,Spring
240424_4B,SAb1 Canteen,b1,Canteen,Indoor,no,metal,23.1,0.421,No,,DNA,240424,Underground,4,Spring
240424_5B,SAb1 SA089 (front),b1,Corridor,Indoor,no,metal,21.7,0.41,No,,DNA,240424,Underground,4,Spring
240424_6B,SAb1,b1,Corridor,Indoor,no,metal,21.6,0.408,No,,DNA,240424,Underground,4,Spring
240424_7B,SBb1 (in front of Elevator),b1,Corridor,Indoor,no,metal,21.4,0.406,No,,DNA,240424,Underground,4,Spring
240424_8B,SBb1,b1,Outdoor,Outdoor,no,metal,21.8,0.407,No,,DNA,240424,Outdoor,4,Spring
240424_9B,SB Elevator,Elevator,Elevator,Indoor,no,metal,21.9,0.416,No,,DNA,240424,Elevator,4,Spring
240424_10B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,21.2,0.405,No,,DNA,240424,Underground,4,Spring
240424_11B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,21.1,0.405,No,,DNA,240424,Underground,4,Spring
240424_12B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,20.8,0.407,No,,DNA,240424,Underground,4,Spring
240424_13B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,20.8,0.41,No,,DNA,240424,Underground,4,Spring
240424_14B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,20.4,0.417,No,,DNA,240424,Underground,4,Spring
240424_15B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,20.4,0.421,No,,DNA,240424,Underground,4,Spring
240424_16B,SD Elevator,Elevator,Elevator,Indoor,no,metal,20.8,0.438,No,,DNA,240424,Elevator,4,Spring
240424_17B,SD254,2,Classroom,Indoor,no,metal,21,0.427,No,,DNA,240424,Aboveground,4,Spring
240424_18B,SD234,2,Corridor,Indoor,no,plastic,22.6,0.423,No,Very black,DNA,240424,Aboveground,4,Spring
240424_19B,SC221,2,Common room,Indoor,no,metal,20.3,0.4,No,,DNA,240424,Aboveground,4,Spring
240424_20B,SB123,2,Classroom,Indoor,no,metal,25.5,0.351,No,,DNA,240424,Aboveground,4,Spring
240424_21B,SA521,5,Common room,Indoor,no,metal,24.7,0.374,No,,DNA,240424,Aboveground,4,Spring
240424_22B,SA434,4,Laboratory,Indoor,no,metal,26,0.277,No,,DNA,240424,Aboveground,4,Spring
240508_1A,SAb1 (By the Elevator),b1,Corridor,Indoor,no,plastic,23.6,0.391,No,,DNA,240508,Underground,5,Spring
240508_2A,SAb1 ,b1,Outdoor,Outdoor,yes,metal,24.1,0.385,No,,DNA,240508,Outdoor,5,Spring
240508_3A,SAb1 ,b1,Outdoor,Outdoor,no,plastic,24,0.39,No,,DNA,240508,Outdoor,5,Spring
240508_4A,SAb1 SA007,b1,Office,Indoor,no,plastic,23.8,0.386,No,,DNA,240508,Underground,5,Spring
240508_5A,SBb1 SB022 (in front of toilet door),b1,Corridor,Indoor,no,plastic,24.7,0.393,No,,DNA,240508,Underground,5,Spring
240508_6A,SBb1 SB026,b1,Toilet (Male),Indoor,yes,plastic,24.9,0.391,No,,DNA,240508,Underground,5,Spring
240508_7A,SBb1 SB022,b1,Toilet (Female),Indoor,yes,plastic,24.3,0.393,No,,DNA,240508,Underground,5,Spring
240508_8A,SBb1 SB034 right side ,b1,Corridor,Indoor,no,metal,24.8,0.391,No,,DNA,240508,Underground,5,Spring
240508_9A,SBb1 SB038 left side,b1,Corridor,Indoor,no,plastic,24.7,0.391,No,,DNA,240508,Underground,5,Spring
240508_10A,SBb1 SB024 left side,b1,Corridor,Indoor,no,metal,23.7,0.395,No,,DNA,240508,Underground,5,Spring
240508_11A,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,22.8,0.399,No,,DNA,240508,Underground,5,Spring
240508_12A,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,22.2,0.405,No,,DNA,240508,Underground,5,Spring
240508_13A,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,21.7,0.412,No,,DNA,240508,Underground,5,Spring
240508_14A,SC Elevator,Elevator,Elevator,Indoor,no,metal,23.4,0.421,No,,DNA,240508,Elevator,5,Spring
240508_15A,SDb1 Parking lot,b1,Parking lot,Indoor,no,metal,22.6,0.419,No,,DNA,240508,Underground,5,Spring
240508_16A,SDb1 Parking lot,b1,Parking lot,Indoor,no,metal,21.7,0.424,No,,DNA,240508,Underground,5,Spring
240508_17A,SDb1 Parking lot,b1,Parking lot,Indoor,no,metal,21.4,0.417,No,,DNA,240508,Underground,5,Spring
240508_18A,SDb1,b1,Corridor,Indoor,no,metal,21.1,0.436,No,,DNA,240508,Underground,5,Spring
240508_19A,SB273,2,Common room,Indoor,no,metal,23.8,0.451,No,Opened window,DNA,240508,Aboveground,5,Spring
240508_20A,SC169,2,Classroom,Indoor,no,metal,22.8,0.447,No,,DNA,240508,Aboveground,5,Spring
240508_21A,SA Elevator,Elevator,Elevator,Indoor,no,metal,24.6,0.453,No,,DNA,240508,Elevator,5,Spring
240508_22A,SA421,4,Office,Indoor,no,metal,27.4,0.441,No,,DNA,240508,Aboveground,5,Spring
240523_1B,SAb1 SA084 left side ,b1,Corridor,Indoor,no,metal,23.8,0.619,No,,DNA,240523,Underground,5,Spring
240523_2B,SAb1 SA074,b1,Toilet (Male),Indoor,no,metal,24,0.635,No,,DNA,240523,Underground,5,Spring
240523_3B,SAb1 SA080,b1,Toilet (Female),Indoor,no,metal,23.9,0.641,No,,DNA,240523,Underground,5,Spring
240523_4B,SAb1 Canteen,b1,Canteen,Indoor,no,metal,24,0.643,No,,DNA,240523,Underground,5,Spring
240523_5B,SAb1 SA089 (front),b1,Corridor,Indoor,no,metal,23.4,0.639,No,,DNA,240523,Underground,5,Spring
240523_6B,SAb1,b1,Corridor,Indoor,no,metal,24.1,0.631,No,,DNA,240523,Underground,5,Spring
240523_7B,SBb1 (in front of Elevator),b1,Corridor,Indoor,no,metal,24.5,0.623,No,,DNA,240523,Underground,5,Spring
240523_8B,SBb1,b1,Outdoor,Outdoor,no,metal,29.3,0.635,No,,DNA,240523,Outdoor,5,Spring
240523_9B,SB Elevator,Elevator,Elevator,Indoor,no,metal,25.2,0.625,No,,DNA,240523,Elevator,5,Spring
240523_10B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,24.1,0.629,No,,DNA,240523,Underground,5,Spring
240523_11B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,23.9,0.631,No,,DNA,240523,Underground,5,Spring
240523_12B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,23.6,0.636,No,,DNA,240523,Underground,5,Spring
240523_13B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,24.7,0.64,No,,DNA,240523,Underground,5,Spring
240523_14B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,23.8,0.646,No,,DNA,240523,Underground,5,Spring
240523_15B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,23.8,0.651,No,,DNA,240523,Underground,5,Spring
240523_16B,SD Elevator,Elevator,Elevator,Indoor,no,metal,24.2,0.651,No,,DNA,240523,Elevator,5,Spring
240523_17B,SD254,2,Classroom,Indoor,yes,metal,24.9,0.64,No,,DNA,240523,Aboveground,5,Spring
240523_18B,SD234,2,Corridor,Indoor,no,plastic,25.6,0.637,No,Very black,DNA,240523,Aboveground,5,Spring
240523_19B,SC221,2,Common room,Indoor,no,metal,25.7,0.659,No,,DNA,240523,Aboveground,5,Spring
240523_20B,SB123,2,Classroom,Indoor,no,metal,25.3,0.595,No,,DNA,240523,Aboveground,5,Spring
240523_21B,SA521,5,Common room,Indoor,no,metal,25.9,0.611,No,,DNA,240523,Aboveground,5,Spring
240523_22B,SA434,4,Laboratory,Indoor,yes,metal,24,0.596,No,,DNA,240523,Aboveground,5,Spring
240608_1A,SAb1 (By the Elevator),b1,Corridor,Indoor,no,plastic,23.4,0.688,No,,DNA,240608,Underground,6,Summer
240608_2A,SAb1 ,b1,Outdoor,Outdoor,yes,metal,23.8,0.685,No,,DNA,240608,Outdoor,6,Summer
240608_3A,SAb1 ,b1,Outdoor,Outdoor,no,plastic,23.8,0.685,No,,DNA,240608,Outdoor,6,Summer
240608_4A,SAb1 SA007,b1,Office,Indoor,no,plastic,23.5,0.663,No,,DNA,240608,Underground,6,Summer
240608_5A,SBb1 SB022 (in front of toilet door),b1,Corridor,Indoor,no,plastic,23.5,0.672,No,,DNA,240608,Underground,6,Summer
240608_6A,SBb1 SB026,b1,Toilet (Male),Indoor,yes,plastic,23.7,0.673,No,,DNA,240608,Underground,6,Summer
240608_7A,SBb1 SB022,b1,Toilet (Female),Indoor,yes,plastic,23.9,0.669,No,,DNA,240608,Underground,6,Summer
240608_8A,SBb1 SB034 right side ,b1,Corridor,Indoor,no,metal,23.9,0.668,No,,DNA,240608,Underground,6,Summer
240608_9A,SBb1 SB038 left side,b1,Corridor,Indoor,yes,plastic,24,0.665,No,,DNA,240608,Underground,6,Summer
240608_10A,SBb1 SB024 left side,b1,Corridor,Indoor,no,metal,24,0.663,No,,DNA,240608,Underground,6,Summer
240608_11A,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,23.9,0.662,No,,DNA,240608,Underground,6,Summer
240608_12A,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,23.8,0.661,No,,DNA,240608,Underground,6,Summer
240608_13A,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,23.5,0.664,No,,DNA,240608,Underground,6,Summer
240608_14A,SC Elevator,Elevator,Elevator,Indoor,no,metal,24.3,0.656,No,,DNA,240608,Elevator,6,Summer
240608_15A,SDb1 Parking lot,b1,Parking lot,Indoor,no,metal,23.7,0.658,No,,DNA,240608,Underground,6,Summer
240608_16A,SDb1 Parking lot,b1,Parking lot,Indoor,no,metal,23.7,0.661,No,,DNA,240608,Underground,6,Summer
240608_17A,SDb1 Parking lot,b1,Parking lot,Indoor,no,metal,23.2,0.664,No,,DNA,240608,Underground,6,Summer
240608_18A,SDb1,b1,Corridor,Indoor,no,metal,23.7,0.661,No,,DNA,240608,Underground,6,Summer
240608_19A,SB273,2,Common room,Indoor,no,metal,24.6,0.649,No,Opened window,DNA,240608,Aboveground,6,Summer
240608_20A,SC169,2,Classroom,Indoor,no,metal,24.5,0.638,No,,DNA,240608,Aboveground,6,Summer
240608_21A,SA Elevator,Elevator,Elevator,Indoor,no,metal,25.3,0.64,No,,DNA,240608,Elevator,6,Summer
240608_22A,SA421,4,Office,Indoor,no,metal,25.1,0.607,No,,DNA,240608,Aboveground,6,Summer
240621_1B,SAb1 SA084 left side ,b1,Corridor,Indoor,no,metal,25,0.714,Yes,,DNA,240621,Underground,6,Summer
240621_2B,SAb1 SA074,b1,Toilet (Male),Indoor,no,metal,25.2,0.724,Yes,,DNA,240621,Underground,6,Summer
240621_3B,SAb1 SA080,b1,Toilet (Female),Indoor,no,metal,25.3,0.737,Yes,,DNA,240621,Underground,6,Summer
240621_4B,SAb1 Canteen,b1,Canteen,Indoor,no,metal,25,0.737,Yes,,DNA,240621,Underground,6,Summer
240621_5B,SAb1 SA089 (front),b1,Corridor,Indoor,no,metal,25.2,0.739,Yes,,DNA,240621,Underground,6,Summer
240621_6B,SAb1,b1,Corridor,Indoor,no,metal,25.4,0.738,Yes,,DNA,240621,Underground,6,Summer
240621_7B,SBb1 (in front of Elevator),b1,Corridor,Indoor,no,metal,24.5,0.734,Yes,,DNA,240621,Underground,6,Summer
240621_8B,SBb1,b1,Outdoor,Outdoor,no,metal,25.4,0.745,Yes,,DNA,240621,Outdoor,6,Summer
240621_9B,SB Elevator,Elevator,Elevator,Indoor,no,metal,25.6,0.727,No,,DNA,240621,Elevator,6,Summer
240621_10B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,25.3,0.751,Yes,,DNA,240621,Underground,6,Summer
240621_11B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,25.1,0.768,Yes,,DNA,240621,Underground,6,Summer
240621_12B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,25.2,0.787,Yes,,DNA,240621,Underground,6,Summer
240621_13B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,25,0.807,Yes,,DNA,240621,Underground,6,Summer
240621_14B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,24.9,0.821,Yes,,DNA,240621,Underground,6,Summer
240621_15B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,24.8,0.835,Yes,,DNA,240621,Underground,6,Summer
240621_16B,SD Elevator,Elevator,Elevator,Indoor,no,metal,25,0.831,No,,DNA,240621,Elevator,6,Summer
240621_17B,SD254,2,Classroom,Indoor,yes,metal,25,0.798,No,,DNA,240621,Aboveground,6,Summer
240621_18B,SD234,2,Corridor,Indoor,yes,plastic,25.3,0.785,No,Very black,DNA,240621,Aboveground,6,Summer
240621_19B,SC221,2,Common room,Indoor,no,metal,25.5,0.76,No,,DNA,240621,Aboveground,6,Summer
240621_20B,SB123,2,Classroom,Indoor,no,metal,23.8,0.673,No,,DNA,240621,Aboveground,6,Summer
240621_21B,SA521,5,Common room,Indoor,no,metal,25.5,0.721,No,,DNA,240621,Aboveground,6,Summer
240621_22B,SA434,4,Laboratory,Indoor,yes,metal,25.2,0.706,No,,DNA,240621,Aboveground,6,Summer
240704_1B,SAb1 SA084 left side ,b1,Corridor,Indoor,no,metal,25.8,0.734,Yes,,DNA,240704,Underground,7,Summer
240704_2B,SAb1 SA074,b1,Toilet (Male),Indoor,no,metal,26.1,0.75,Yes,,DNA,240704,Underground,7,Summer
240704_3B,SAb1 SA080,b1,Toilet (Female),Indoor,no,metal,26.3,0.752,Yes,,DNA,240704,Underground,7,Summer
240704_4B,SAb1 Canteen,b1,Canteen,Indoor,no,metal,25.9,0.734,Yes,,DNA,240704,Underground,7,Summer
240704_5B,SAb1 SA089 (front),b1,Corridor,Indoor,no,metal,26.1,0.738,Yes,,DNA,240704,Underground,7,Summer
240704_6B,SAb1,b1,Corridor,Indoor,no,metal,26.2,0.728,Yes,,DNA,240704,Underground,7,Summer
240704_7B,SBb1 (in front of Elevator),b1,Corridor,Indoor,no,metal,26.4,0.723,Yes,,DNA,240704,Underground,7,Summer
240704_8B,SBb1,b1,Outdoor,Outdoor,no,metal,27.5,0.728,Yes,,DNA,240704,Outdoor,7,Summer
240704_9B,SB Elevator,Elevator,Elevator,Indoor,no,metal,27.7,0.714,No,,DNA,240704,Elevator,7,Summer
240704_10B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,27.1,0.717,Yes,,DNA,240704,Underground,7,Summer
240704_11B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,26.5,0.716,Yes,,DNA,240704,Underground,7,Summer
240704_12B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,26.5,0.752,Yes,,DNA,240704,Underground,7,Summer
240704_13B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,25.8,0.751,Yes,,DNA,240704,Underground,7,Summer
240704_14B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,27,0.77,Yes,,DNA,240704,Underground,7,Summer
240704_15B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,27.1,0.785,Yes,,DNA,240704,Underground,7,Summer
240704_16B,SD Elevator,Elevator,Elevator,Indoor,no,metal,27.1,0.789,No,,DNA,240704,Elevator,7,Summer
240704_17B,SD254,2,Classroom,Indoor,yes,metal,26.6,0.748,No,,DNA,240704,Aboveground,7,Summer
240704_18B,SD234,2,Corridor,Indoor,yes,plastic,27.2,0.743,No,Very black,DNA,240704,Aboveground,7,Summer
240704_19B,SC221,2,Common room,Indoor,no,metal,27,0.73,No,,DNA,240704,Aboveground,7,Summer
240704_20B,SB123,2,Classroom,Indoor,no,metal,NA,NA,No,Not a crowded place,DNA,240704,Aboveground,7,Summer
240704_21B,SA521,5,Common room,Indoor,yes,metal,26.2,0.667,No,,DNA,240704,Aboveground,7,Summer
240704_22B,SA434,4,Laboratory,Indoor,no,metal,25.4,0.647,No,,DNA,240704,Aboveground,7,Summer
240718_1A,SAb1 (By the Elevator),b1,Corridor,Indoor,no,plastic,25,0.654,No,,DNA,240718,Underground,7,Summer
240718_2A,SAb1 ,b1,Outdoor,Outdoor,yes,metal,26.2,0.645,No,,DNA,240718,Outdoor,7,Summer
240718_3A,SAb1 ,b1,Outdoor,Outdoor,no,plastic,26.2,0.645,No,,DNA,240718,Outdoor,7,Summer
240718_4A,SAb1 SA007,b1,Office,Indoor,no,plastic,26.3,0.632,No,,DNA,240718,Underground,7,Summer
240718_5A,SBb1 SB022 (in front of toilet door),b1,Corridor,Indoor,no,plastic,26.5,0.633,No,,DNA,240718,Underground,7,Summer
240718_6A,SBb1 SB026,b1,Toilet (Male),Indoor,yes,plastic,27,0.634,No,,DNA,240718,Underground,7,Summer
240718_7A,SBb1 SB022,b1,Toilet (Female),Indoor,yes,plastic,27.1,0.633,No,,DNA,240718,Underground,7,Summer
240718_8A,SBb1 SB034 right side ,b1,Corridor,Indoor,no,metal,27,0.634,No,,DNA,240718,Underground,7,Summer
240718_9A,SBb1 SB038 left side,b1,Corridor,Indoor,no,plastic,27,0.64,No,,DNA,240718,Underground,7,Summer
240718_10A,SBb1 SB024 left side,b1,Corridor,Indoor,no,metal,27,0.647,No,,DNA,240718,Underground,7,Summer
240718_11A,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,26.8,0.654,No,,DNA,240718,Underground,7,Summer
240718_12A,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,26.7,0.681,No,,DNA,240718,Underground,7,Summer
240718_13A,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,26.9,0.702,No,,DNA,240718,Underground,7,Summer
240718_14A,SC Elevator,Elevator,Elevator,Indoor,no,metal,27.3,0.703,No,,DNA,240718,Elevator,7,Summer
240718_15A,SDb1 Parking lot,b1,Parking lot,Indoor,no,metal,28,0.719,No,,DNA,240718,Underground,7,Summer
240718_16A,SDb1 Parking lot,b1,Parking lot,Indoor,no,metal,28.3,0.727,No,,DNA,240718,Underground,7,Summer
240718_17A,SDb1 Parking lot,b1,Parking lot,Indoor,no,metal,28.3,0.732,No,,DNA,240718,Underground,7,Summer
240718_18A,SDb1,b1,Corridor,Indoor,no,metal,27.6,0.736,No,Renovation,DNA,240718,Underground,7,Summer
240718_19A,SB273,2,Common room,Indoor,yes,metal,27.4,0.692,No,Opened window,DNA,240718,Aboveground,7,Summer
240718_20A,SC169,2,Classroom,Indoor,no,metal,NA,NA,No,Not a crowded place,DNA,240718,Aboveground,7,Summer
240718_21A,SA Elevator,Elevator,Elevator,Indoor,no,metal,28.1,0.664,No,,DNA,240718,Elevator,7,Summer
240718_22A,SA421,4,Office,Indoor,no,metal,27.9,0.64,No,Renovation,DNA,240718,Aboveground,7,Summer
240801_1B,SAb1 SA084 left side ,b1,Corridor,Indoor,no,metal,28.1,0.676,No,,DNA,240801,Underground,8,Summer
240801_2B,SAb1 SA074,b1,Toilet (Male),Indoor,no,metal,27.8,0.679,No,,DNA,240801,Underground,8,Summer
240801_3B,SAb1 SA080,b1,Toilet (Female),Indoor,no,metal,27.9,0.68,No,,DNA,240801,Underground,8,Summer
240801_4B,SAb1 Canteen,b1,Canteen,Indoor,no,metal,27.2,0.663,No,,DNA,240801,Underground,8,Summer
240801_5B,SAb1 SA089 (front),b1,Corridor,Indoor,no,metal,27.2,0.666,No,,DNA,240801,Underground,8,Summer
240801_6B,SAb1,b1,Corridor,Indoor,no,metal,26.7,0.663,No,,DNA,240801,Underground,8,Summer
240801_7B,SBb1 (in front of Elevator),b1,Corridor,Indoor,no,metal,27.7,0.663,No,,DNA,240801,Underground,8,Summer
240801_8B,SBb1,b1,Outdoor,Outdoor,no,metal,30.9,0.656,No,,DNA,240801,Outdoor,8,Summer
240801_9B,SB Elevator,Elevator,Elevator,Indoor,no,metal,29.8,0.64,No,Only sample the right side,DNA,240801,Elevator,8,Summer
240801_10B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,29.1,0.647,No,,DNA,240801,Underground,8,Summer
240801_11B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,29.2,0.654,No,,DNA,240801,Underground,8,Summer
240801_12B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,29.2,0.657,No,,DNA,240801,Underground,8,Summer
240801_13B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,29.8,0.664,No,,DNA,240801,Underground,8,Summer
240801_14B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,30.1,0.668,No,,DNA,240801,Underground,8,Summer
240801_15B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,30.3,0.669,No,,DNA,240801,Underground,8,Summer
240801_16B,SD Elevator,Elevator,Elevator,Indoor,no,metal,29.8,0.66,No,,DNA,240801,Elevator,8,Summer
240801_17B,SD254,2,Classroom,Indoor,yes,metal,28.5,0.619,No,,DNA,240801,Aboveground,8,Summer
240801_18B,SD234,2,Corridor,Indoor,no,plastic,28.3,0.612,No,,DNA,240801,Aboveground,8,Summer
240801_19B,SC221,2,Common room,Indoor,yes,metal,28.6,0.598,No,,DNA,240801,Aboveground,8,Summer
240801_20B,SB123,2,Classroom,Indoor,no,metal,NA,NA,No,Not a crowded place,DNA,240801,Aboveground,8,Summer
240801_21B,SA521,5,Common room,Indoor,yes,metal,27.5,0.545,No,,DNA,240801,Aboveground,8,Summer
240801_22B,SA434,4,Laboratory,Indoor,no,metal,26.3,0.556,No,,DNA,240801,Aboveground,8,Summer
240813_1A,SAb1 (By the Elevator),b1,Corridor,Indoor,no,plastic,26.6,0.644,No,,DNA,240813,Underground,8,Summer
240813_2A,SAb1 ,b1,Outdoor,Outdoor,yes,metal,27.8,0.672,No,,DNA,240813,Outdoor,8,Summer
